Locality,Total Restaurants,Average Rating,Average Price Range
"Lavender, Kallang",2,3.45,3.5
Lawsons Bay,2,3.7,2.0
Perdido Key,2,4.550000000000001,2.0
"West End Mall, Janak Puri",2,2.75,1.5
West Des Moines,2,4.1,2.5
Leblon,2,4.5,4.0
Old Palasia,2,3.9,3.0
"Pineslopes Shopping Centre, Fourways",2,4.35,4.0
"Vivanta by Taj, Sector 44, Gurgaon",2,3.9,4.0
Leme,2,4.2,3.0
Vikas Marg,2,1.7,1.0
"Victoria Wharf, V & A Waterfront",2,4.25,3.5
Powai,2,4.35,3.0
"Radisson Blu, Tajganj",2,3.8499999999999996,2.5
Vaishali Nagar,2,3.25,3.0
"Ninex City Mart Mall, Sohna Road",2,3.3499999999999996,2.0
"Radisson Hotel, Nadesar",2,3.3,3.5
"The Promenade, White Town",2,3.8,4.0
"Southern Park Mall, Saket",2,3.45,3.5
South City 1,2,0.0,2.0
Sahid Nagar,2,4.0,2.0
Siripuram,2,4.0,2.0
Sigra,2,3.35,2.0
Saibaba Colony,2,4.550000000000001,2.0
"Shopprix Mall, Sector 61, Noida",2,1.55,1.5
Sarjapur Road,2,4.2,3.0
Shanti Niketan Marg,2,3.0999999999999996,1.5
Senopati,2,4.300000000000001,3.0
Senapati Bapat Road,2,4.15,2.5
Sea Point,2,4.6,2.5
Nadesar,2,3.5,2.5
Sector 1,2,0.0,1.0
"Mosaic Hotels, Sector 18, Noida ",2,3.25,3.5
Moseley,2,2.0,2.5
Lal Kothi,2,4.15,2.0
